name,set,availability,rarity,rating,num_votes,categories,pic
Marshmello,Marshmello,Shop,Icon,3.9,10500.0,"['Crossover', 'Male', 'Reactive']",https://progameguides.com/wp-content/uploads/2019/04/fortnite-marshmello-featured-png-300x300.png
Storm,Storm,Battle Pass,Marvel,3.8,899.0,"['Crossover', 'Female']",https://progameguides.com/wp-content/uploads/2020/08/fortnite-storm-icon-skin-300x300.png
Master Key,Key Force,Battle Pass,Epic,3.4,3900.0,"['Male', 'Styles']",https://progameguides.com/wp-content/uploads/2019/04/fortnite-master-key-icon-png-300x300.png
Master Minotaur,Chimera Crew,Shop,Epic,3.4,737.0,['Male'],https://progameguides.com/wp-content/uploads/2020/03/fortnite-master-minotaur-skin-icon-300x300.png
Match Point,Match Point,Shop,Uncommon,2.8,2200.0,"['Female', 'Sports', 'Tennis']",https://progameguides.com/wp-content/uploads/2019/06/fortnite-skin-match-point-icon-300x300.png
Mave,Wildheart,Battle Pass,Epic,3.8,199.0,"['Female', 'Styles']",https://progameguides.com/wp-content/uploads/2020/12/fortnite-outfit-mave-reactive-hair-off-450x450.jpg
Maven,Calculator Crew,Shop,Rare,3.6,4300.0,['Female'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-maven-featured-png-300x300.png
Maverick,Cobra Crew,Shop,Epic,3.1,3200.0,"['Male', 'Styles']",https://progameguides.com/wp-content/uploads/2019/04/fortnite-maverick-featured-png-300x300.png
Maximilian,Aviation Age,Shop,Rare,2.4,2700.0,['Male'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-maximilian-featured-png-300x300.png
Gear Specialist Maya,Custom,Battle Pass,Legendary,3.8,1900.0,"['Female', 'Forged']",https://progameguides.com/wp-content/uploads/2020/02/fortnite-gear-specialist-maya-icon-300x300.png
Mayhem,Wasteland Warriors,Shop,Rare,3.1,3400.0,['Female'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-mayhem-featured-png-300x300.png
Mecha Team Leader,Final Showdown,Shop,Epic,3.6,2500.0,"['Robot', 'Team Leaders']",https://progameguides.com/wp-content/uploads/2019/07/fortnite-mecha-team-leader-skin-icon-300x300.png
Mecha Team Shadow,Shadow Strike,Shop,Shadow,3.6,353.0,['Robot'],https://progameguides.com/wp-content/uploads/2020/08/fortnite-mecha-team-shadow-skin-icon-300x300.png
Menace,The Vanquisher,Battle Pass,Legendary,3.7,254.0,[],https://progameguides.com/wp-content/uploads/2020/12/fortnite-outfit-menace-challenger-menace-flame-450x450.jpg
Meowscles,Swole Cat,Battle Pass,Epic,3.9,3100.0,"['Built-in', 'Enlightened', 'Male', 'Reactive', 'Styles']",https://progameguides.com/wp-content/uploads/2020/02/fortnite-skin-meowscles-skin-icon-300x300.png
Merry Marauder,Gingerbread,Shop,Epic,3.9,9600.0,"['Annual', 'Christmas', 'Holidays', 'Male', 'Styles']",https://progameguides.com/wp-content/uploads/2019/04/fortnite-merry-marauder-featured-png-300x300.png
Metal Mouth,Metal Masq,Shop,Rare,3.6,1000.0,"['Male', 'Styles']",https://progameguides.com/wp-content/uploads/2020/01/fortnite-metal-mouth-skin-icon-300x300.png
Mezmer,Sun Soldiers,Shop,Rare,3.5,4400.0,"['Male', 'Styles']",https://progameguides.com/wp-content/uploads/2019/04/fortnite-mezmer-featured-png-300x300.png
Midas,Golden Ghost,Battle Pass,Legendary,4.0,9400.0,"['Male', 'Styles']",https://progameguides.com/wp-content/uploads/2020/02/fortnite-midas-skin-icon-300x300.png
Midfield Maestro,Goalbound,Shop,Rare,2.8,3100.0,"['Male', 'Soccer', 'Sports', 'Styles']",https://progameguides.com/wp-content/uploads/2018/08/fortnite-midfield-maestro-featured-png-300x300.png
Midfield Monstrosity,Dead Ball,Shop,Rare,2.4,884.0,"['Annual', 'Halloween', 'Holidays', 'Male']",https://progameguides.com/wp-content/uploads/2019/10/fortnite-midfield-monstrosity-skin-featured-300x300.png
Midnight Dusk,Crypt Crashers,Bundle,Epic,3.9,382.0,"['Female', 'Halloween', 'Holidays']",https://progameguides.com/wp-content/uploads/2020/10/fortnite-midnight-dusk-icon-300x300.png
Midnight Ops,Stealth Syndicate,Shop,Rare,2.3,4300.0,['Male'],https://progameguides.com/wp-content/uploads/2019/04/fortnite-midnight-ops-icon-png-300x300.png
Mika,Mika,Shop,Rare,2.9,1400.0,['Female'],https://progameguides.com/wp-content/uploads/2019/07/fortnite-mika-skin-icon-300x300.png
Mincemeat,Baker's Nightmare,Shop,Epic,3.4,89.0,['Male'],https://progameguides.com/wp-content/uploads/2020/11/fortnite-mincemeat-icon-300x300.png
Mission Specialist,Space Explorers,Battle Pass,Epic,3.0,3100.0,"['Male', 'Styles']",https://progameguides.com/wp-content/uploads/2019/04/fortnite-mission-specialist-icon-png-300x300.png
